pubDate,effectiveDate,bigInstitutionsRatioPre,bigInstitutionsRatioAfter,mediumInstitutionsRatioPre,mediumInstitutionsRatioAfter
1999-11-18,1999-11-21,8.0,6.0,8.0,6.0
2003-08-23,2003-09-21,6.0,7.0,6.0,7.0
2004-04-12,2004-04-25,7.0,7.5,7.0,7.5
2006-06-16,2006-07-05,7.5,8.0,7.5,8.0
2006-07-21,2006-08-15,8.0,8.5,8.0,8.5
2006-11-03,2006-11-15,8.5,9.0,8.5,9.0
2007-01-05,2007-01-15,9.0,9.5,9.0,9.5
2007-02-16,2007-02-25,9.5,10.0,9.5,10.0
2007-04-05,2007-04-16,10.0,10.5,10.0,10.5
2007-04-29,2007-05-15,10.5,11.0,10.5,11.0
2007-05-18,2007-06-05,11.0,11.5,11.0,11.5
2007-07-30,2007-08-15,11.5,12.0,11.5,12.0
2007-09-06,2007-09-25,12.0,12.5,12.0,12.5
2007-10-13,2007-10-25,12.5,13.0,12.5,13.0
2007-11-10,2007-11-26,13.0,13.5,13.0,13.5
2007-12-08,2007-12-25,13.5,14.5,13.5,14.5
2008-01-16,2008-01-25,14.5,15.0,14.5,15.0
2008-03-18,2008-03-25,15.0,15.5,15.0,15.5
2008-04-16,2008-04-25,15.5,16.0,15.5,16.0
2008-05-12,2008-05-20,16.0,16.5,16.0,16.5
2008-06-07,2008-06-15,16.5,17.0,16.5,17.0
2008-09-15,2008-09-25,17.0,17.5,17.0,16.5
2008-10-08,2008-10-15,17.5,17.0,16.5,16.0
2008-11-26,2008-12-05,17.0,16.0,16.0,14.0
2008-12-22,2008-12-25,16.0,15.5,14.0,13.5
2010-01-12,2010-01-18,15.5,16.0,13.5,14.0
2010-02-12,2010-02-25,16.0,16.5,14.0,14.5
2010-05-02,2010-05-10,16.5,17.0,14.5,15.0
2010-11-10,2010-11-16,17.0,17.5,15.0,15.5
2010-11-19,2010-11-29,17.5,18.0,15.5,16.0
2010-12-10,2010-12-20,18.0,18.5,16.0,16.5
2011-01-14,2011-01-20,18.5,19.0,16.5,16.5
2011-02-18,2011-02-24,19.0,19.5,16.5,17.0
2011-03-18,2011-03-25,19.5,20.0,17.0,18.0
2011-04-17,2011-04-21,20.0,20.5,18.0,18.5
2011-05-12,2011-05-18,20.5,21.0,18.5,19.0
2011-06-14,2011-06-20,21.0,21.5,19.0,19.5
2011-11-30,2011-12-05,21.5,21.0,19.5,19.0
2012-02-18,2012-02-24,21.0,20.5,19.0,18.5
2012-05-12,2012-05-18,20.5,20.0,18.5,18.0
2015-02-04,2015-02-05,20.0,19.5,18.0,17.5
2015-04-19,2015-04-20,19.5,18.5,17.5,16.5
2015-08-25,2015-09-06,18.5,18.0,16.5,16.0
2015-10-23,2015-10-24,18.0,17.5,16.0,15.5
2016-02-29,2016-03-01,17.5,17.0,15.5,15.0
2018-04-17,2018-04-25,17.0,16.0,15.0,14.0
2018-06-24,2018-07-05,16.0,15.5,14.0,13.5
