statYear,statMonth,m0Month,m0YOY,m0ChainRelative,m1Month,m1YOY,m1ChainRelative,m2Month,m2YOY,m2ChainRelative
1951,12,,,,,,,,,
1952,12,,,,,,,,,
1953,12,,,,,,,,,
1954,12,,,,,,,,,
1955,12,,,,,,,,,
1956,12,,,,,,,,,
1957,12,,,,,,,,,
1958,12,,,,,,,,,
1959,12,,,,,,,,,
1960,12,,,,,,,,,
1961,12,,,,,,,,,
1962,12,,,,,,,,,
1963,12,,,,,,,,,
1964,12,,,,,,,,,
1965,12,,,,,,,,,
1966,12,,,,,,,,,
1967,12,,,,,,,,,
1968,12,,,,,,,,,
1969,12,,,,,,,,,
1970,12,,,,,,,,,
1971,12,,,,,,,,,
1972,12,,,,,,,,,
1973,12,,,,,,,,,
1974,12,,,,,,,,,
1975,12,,,,,,,,,
1976,12,,,,,,,,,
1977,12,,,,,,,,,
1978,01,229.590000,,,870.530000,,,,,
1978,02,205.890000,,-10.322749,833.350000,,-4.270961,,,
1978,03,194.860000,,-5.357230,827.830000,,-0.662387,,,
1978,04,192.630000,,-1.144411,808.170000,,-2.374884,,,
1978,05,182.170000,,-5.430099,757.930000,,-6.216514,,,
1978,06,178.460000,,-2.036559,745.080000,,-1.695407,,,
1978,07,181.020000,,1.434495,746.430000,,0.181189,,,
1978,08,182.120000,,0.607668,755.990000,,1.280763,,,
1978,09,188.270000,,3.376894,763.470000,,0.989431,,,
1978,10,185.240000,,-1.609391,778.640000,,1.986981,,,
1978,11,190.540000,,2.861153,808.270000,,3.805353,,,
1978,12,212.030000,,11.278472,859.450000,,6.332043,,,
1979,01,257.220000,12.030000,21.313022,851.390000,-2.200000,-0.937809,,,
1979,02,228.360000,10.910000,-11.219967,823.000000,-1.240000,-3.334547,,,
1979,03,219.020000,12.400000,-4.090033,833.240000,0.650000,1.244228,,,
1979,04,217.330000,12.820000,-0.771619,835.080000,3.330000,0.220825,,,
1979,05,209.000000,14.730000,-3.832881,809.140000,6.760000,-3.106289,,,
1979,06,208.710000,16.950000,-0.138756,814.670000,9.340000,0.683442,,,
1979,07,212.960000,17.640000,2.036318,831.280000,11.370000,2.038862,,,
1979,08,215.350000,18.250000,1.122276,849.580000,12.380000,2.201424,,,
1979,09,225.570000,19.810000,4.745763,871.190000,14.110000,2.543610,,,
1979,10,220.900000,19.250000,-2.070311,895.320000,14.990000,2.769775,,,
1979,11,235.130000,23.400000,6.441829,955.660000,18.240000,6.739490,,,
1979,12,267.710000,26.260000,13.856165,1069.360000,24.420000,11.897537,,,
1980,01,300.410000,16.790000,12.214710,1031.890000,21.200000,-3.503965,,,
1980,02,279.180000,22.250000,-7.067008,975.800000,18.570000,-5.435657,,,
1980,03,261.490000,19.390000,-6.336414,963.910000,15.680000,-1.218487,,,
1980,04,254.070000,16.910000,-2.837585,954.890000,14.350000,-0.935772,,,
1980,05,243.130000,16.330000,-4.305900,957.200000,18.300000,0.241913,,,
1980,06,243.300000,16.570000,0.069921,983.040000,20.670000,2.699540,,,
1980,07,251.710000,18.200000,3.456638,1012.490000,21.800000,2.995809,,,
1980,08,259.970000,20.720000,3.281554,1043.810000,22.860000,3.093364,,,
1980,09,274.350000,21.630000,5.531407,1081.750000,24.170000,3.634761,,,
1980,10,285.840000,29.400000,4.188081,1133.150000,26.560000,4.751560,,,
1980,11,309.000000,31.420000,8.102435,1206.270000,26.220000,6.452809,,,
1980,12,346.200000,29.320000,12.038835,1315.740000,23.040000,9.075083,,,
1981,01,415.030000,38.150000,19.881571,1370.500000,32.810000,4.161916,,,
1981,02,349.860000,25.320000,-15.702479,1309.390000,34.190000,-4.458957,,,
1981,03,325.620000,24.520000,-6.928486,1289.050000,33.730000,-1.553395,,,
1981,04,318.040000,25.180000,-2.327867,1267.410000,32.730000,-1.678756,,,
1981,05,306.440000,26.040000,-3.647340,1268.120000,32.480000,0.056020,,,
1981,06,306.380000,25.930000,-0.019580,1297.760000,32.010000,2.337318,,,
1981,07,315.460000,25.330000,2.963640,1320.010000,30.370000,1.714493,,,
1981,08,320.160000,23.150000,1.489888,1356.450000,29.950000,2.760585,,,
1981,09,333.150000,21.430000,4.057346,1393.370000,28.810000,2.721811,,,
1981,10,345.230000,20.780000,3.625994,1250.320000,10.340000,-10.266476,,,
1981,11,359.850000,16.460000,4.234858,1580.860000,31.050000,26.436432,,,
1981,12,396.340000,14.480000,10.140336,1636.560000,24.380000,3.523399,,,
1982,01,443.010000,6.740000,11.775243,1638.320000,19.540000,0.107543,,,
1982,02,402.920000,15.170000,-9.049457,1578.760000,20.570000,-3.635431,,,
1982,03,377.870000,16.050000,-6.217115,1569.690000,21.770000,-0.574502,,,
1982,04,367.330000,15.500000,-2.789319,1552.520000,22.500000,-1.093847,,,
1982,05,349.470000,14.040000,-4.862113,1555.300000,22.650000,0.179064,,,
1982,06,352.490000,15.050000,0.864166,1567.420000,20.780000,0.779271,,,
1982,07,358.210000,13.550000,1.622741,1587.920000,20.300000,1.307882,,,
1982,08,359.960000,12.430000,0.488540,1610.770000,18.750000,1.438989,,,
1982,09,377.400000,13.280000,4.844983,1642.910000,17.910000,1.995319,,,
1982,10,388.400000,12.500000,2.914679,1693.450000,35.440000,3.076249,,,
1982,11,404.100000,12.300000,4.042225,1766.360000,11.730000,4.305412,,,
1982,12,439.120000,10.790000,8.666172,1885.110000,15.190000,6.722865,,,
1983,01,482.960000,9.020000,9.983604,1984.950000,21.160000,5.296243,,,
1983,02,459.910000,14.140000,-4.772652,1925.990000,21.990000,-2.970352,,,
1983,03,433.270000,14.660000,-5.792438,1925.790000,22.690000,-0.010384,,,
1983,04,430.860000,17.300000,-0.556235,1968.010000,26.760000,2.192347,,,
1983,05,415.250000,18.820000,-3.622987,1957.820000,25.880000,-0.517782,,,
1983,06,421.970000,19.710000,1.618302,1975.100000,26.010000,0.882614,,,
1983,07,438.160000,22.320000,3.836766,2019.990000,27.210000,2.272796,,,
1983,08,439.650000,22.140000,0.340058,2033.770000,26.260000,0.682182,,,
1983,09,467.280000,23.820000,6.284545,2082.240000,26.740000,2.383259,,,
1983,10,488.630000,25.810000,4.568995,2138.540000,26.280000,2.703819,,,
1983,11,517.640000,28.100000,5.937008,2252.510000,27.520000,5.329337,,,
1983,12,529.780000,20.650000,2.345259,2165.040000,14.850000,-3.883224,,,
1984,01,618.470000,28.060000,16.740911,2169.610000,9.300000,0.211082,,,
1984,02,530.990000,15.460000,-14.144583,2072.290000,7.600000,-4.485599,,,
1984,03,511.190000,17.980000,-3.728884,2065.670000,7.260000,-0.319453,,,
1984,04,502.060000,16.530000,-1.786029,2073.600000,5.370000,0.383895,,,
1984,05,481.590000,15.980000,-4.077202,2080.790000,6.280000,0.346740,,,
1984,06,490.840000,16.320000,1.920721,2103.010000,6.480000,1.067864,,,
1984,07,519.270000,18.510000,5.792111,2174.910000,7.670000,3.418909,,,
1984,08,541.570000,23.180000,4.294490,2247.440000,10.510000,3.334851,,,
1984,09,587.200000,25.660000,8.425504,2324.550000,11.640000,3.431015,,,
1984,10,643.590000,31.710000,9.603202,2441.330000,14.160000,5.023768,,,
1984,11,700.710000,35.370000,8.875216,2592.640000,15.100000,6.197851,,,
1984,12,792.110000,49.520000,13.043913,2845.240000,31.420000,9.742965,,,
1985,01,839.350000,35.710000,5.963818,2925.380000,34.830000,2.816634,,,
1985,02,843.690000,58.890000,0.517067,2870.780000,38.530000,-1.866424,,,
1985,03,787.590000,54.070000,-6.649362,2822.050000,36.620000,-1.697448,,,
1985,04,760.760000,51.530000,-3.406595,2760.110000,33.110000,-2.194858,,,
1985,05,737.890000,53.220000,-3.006204,2715.740000,30.510000,-1.607545,,,
1985,06,757.500000,54.330000,2.657578,2639.400000,25.510000,-2.811020,,,
1985,07,783.740000,50.930000,3.464026,2679.890000,23.220000,1.534061,,,
1985,08,799.620000,47.650000,2.026182,2689.340000,19.660000,0.352626,,,
1985,09,827.120000,40.860000,3.439134,2719.540000,16.990000,1.122952,,,
1985,10,839.200000,30.390000,1.460489,2736.560000,12.090000,0.625841,,,
1985,11,902.350000,28.780000,7.525024,2838.290000,9.470000,3.717441,,,
1985,12,987.830000,24.710000,9.473043,3011.390000,5.840000,6.098743,,,
1986,01,1050.630000,25.170000,6.357369,3009.350000,2.870000,-0.067743,,,
1986,02,960.270000,13.820000,-8.600554,2882.590000,0.410000,-4.212205,,,
1986,03,898.790000,14.120000,-6.402366,2854.090000,1.140000,-0.988694,,,
1986,04,881.550000,15.880000,-1.918134,2880.700000,4.370000,0.932346,,,
1986,05,865.060000,17.230000,-1.870569,2922.830000,7.630000,1.462492,,,
1986,06,888.460000,17.290000,2.705015,2990.800000,13.310000,2.325486,,,
1986,07,908.770000,15.950000,2.285978,3057.260000,14.080000,2.222148,,,
1986,08,930.460000,16.360000,2.386743,3127.900000,16.310000,2.310566,,,
1986,09,978.620000,18.320000,5.175934,3219.860000,18.400000,2.939992,,,
1986,10,1037.060000,23.580000,5.971674,3361.430000,22.830000,4.396775,,,
1986,11,1108.020000,22.790000,6.842420,3554.650000,25.240000,5.748149,,,
1986,12,1218.360000,23.340000,9.958304,3856.030000,28.050000,8.478472,,,
1987,01,1367.990000,30.210000,12.281263,3955.270000,31.430000,2.573631,,,
1987,02,1199.810000,24.950000,-12.293950,3748.030000,30.020000,-5.239592,,,
1987,03,1142.640000,27.130000,-4.764921,3725.980000,30.550000,-0.588309,,,
1987,04,1134.540000,28.700000,-0.708885,3726.460000,29.360000,0.012883,,,
1987,05,1123.390000,29.860000,-0.982777,3776.360000,29.200000,1.339072,,,
1987,06,1135.380000,27.790000,1.067305,3825.430000,27.910000,1.299399,,,
1987,07,1174.910000,29.290000,3.481654,3907.690000,27.820000,2.150346,,,
1987,08,1198.860000,28.850000,2.038454,4013.210000,28.300000,2.700317,,,
1987,09,1269.920000,29.770000,5.927298,4148.300000,28.830000,3.366133,,,
1987,10,1323.700000,27.640000,4.234912,4279.580000,27.310000,3.164670,,,
1987,11,1372.560000,23.880000,3.691169,4396.180000,23.670000,2.724566,,,
1987,12,1454.590000,19.390000,5.976424,4481.670000,16.220000,1.944643,,,
1988,01,1552.820000,13.510000,6.753106,4632.310000,17.120000,3.361247,,,
1988,02,1552.020000,29.360000,-0.051519,4573.730000,22.030000,-1.264596,,,
1988,03,1442.480000,26.240000,-7.057899,4510.070000,21.040000,-1.391862,,,
